DISPLAY_NAME,GAME_TYPE_ID,GAME_TYPE_DESCRIPTION,GAME_TYPE_POSTSEASON
yearByYear,,,
yearByYearRank,,,
yearByYearPlayoffs,,,
yearByYearPlayoffsRank,,,
careerRegularSeason,,,
careerPlayoffs,,,
gameLog,,,
playoffGameLog,,,
vsTeam,,,
vsTeamPlayoffs,,,
vsDivision,,,
vsDivisionPlayoffs,,,
vsConference,,,
vsConferencePlayoffs,,,
byMonth,,,
byMonthPlayoffs,,,
byDayOfWeek,,,
byDayOfWeekPlayoffs,,,
homeAndAway,,,
homeAndAwayPlayoffs,,,
winLoss,,,
winLossPlayoffs,,,
onPaceRegularSeason,,,
regularSeasonStatRankings,,,
playoffStatRankings,,,
goalsByGameSituation,,,
goalsByGameSituationPlayoffs,,,
statsSingleSeason,R,Regular season,FALSE
statsSingleSeasonPlayoffs,P,Playoffs,TRUE
