DATE,PLAYER,POSITION,TEAM,HOME_STATUS,OPPONENT,WIN_STATUS,BOXSCORE,DECISION,GA,SA,SV,SV_PERCENTAGE,SO,GOAL,ASSIST,PIM,TOI
2017-10-04,CAM TALBOT,G,EDM,HOME,CGY,W,BOXSCORE,W,0,27,27,1.000,1,0,0,0,60:00
2017-10-04,MIKE SMITH,G,CGY,AWAY,EDM,L,BOXSCORE,L,2,44,42,.955,0,0,0,0,58:57
2017-10-04,FREDERIK ANDERSEN,G,TOR,AWAY,WPG,W,BOXSCORE,W,2,37,35,.946,0,0,0,0,60:00
2017-10-04,BRIAN ELLIOTT,G,PHI,AWAY,SJS,W,BOXSCORE,W,3,35,32,.914,0,0,0,0,59:53
2017-10-04,JAKE ALLEN,G,STL,AWAY,PIT,W,BOXSCORE,W,4,33,29,.879,0,0,0,0,61:15
2017-10-04,MARTIN JONES,G,SJS,HOME,PHI,L,BOXSCORE,L,4,30,26,.867,0,0,0,0,58:47
2017-10-04,MATT MURRAY,G,PIT,HOME,STL,L-OT,BOXSCORE,O,5,34,29,.853,0,0,0,0,61:15
2017-10-04,CONNOR HELLEBUYCK,G,WPG,HOME,TOR,L,BOXSCORE,"",2,11,9,.818,0,0,0,0,19:24
2017-10-04,STEVE MASON,G,WPG,HOME,TOR,L,BOXSCORE,L,5,20,15,.750,0,0,0,0,40:36
2017-10-05,JONATHAN QUICK,G,LAK,HOME,PHI,W,BOXSCORE,W,0,35,35,1.000,1,0,0,0,59:59
2017-10-05,COREY CRAWFORD,G,CHI,HOME,PIT,W,BOXSCORE,W,1,29,28,.966,0,0,0,0,59:56
2017-10-05,CAREY PRICE,G,MTL,AWAY,BUF,W,BOXSCORE,W,2,45,43,.956,0,0,0,0,65:00
2017-10-05,ROBIN LEHNER,G,BUF,HOME,MTL,L-SO,BOXSCORE,O,2,40,38,.950,0,0,0,0,64:49
2017-10-05,JIMMY HOWARD,G,DET,HOME,MIN,W,BOXSCORE,W,2,39,37,.949,0,0,0,0,60:00
2017-10-05,SEMYON VARLAMOV,G,COL,AWAY,NYR,W,BOXSCORE,W,2,39,37,.949,0,0,0,0,59:58
2017-10-05,MICHAL NEUVIRTH,G,PHI,AWAY,LAK,L,BOXSCORE,L,2,27,25,.926,0,0,0,0,58:32
2017-10-05,PEKKA RINNE,G,NSH,AWAY,BOS,L,BOXSCORE,L,3,31,28,.903,0,0,0,0,56:36
2017-10-05,TUUKKA RASK,G,BOS,HOME,NSH,W,BOXSCORE,W,3,29,26,.897,0,0,0,0,59:54
2017-10-05,HENRIK LUNDQVIST,G,NYR,HOME,COL,L,BOXSCORE,L,3,25,22,.880,0,0,0,0,58:19
2017-10-05,LOUIS DOMINGUE,G,ARI,AWAY,ANA,L,BOXSCORE,L,5,41,36,.878,0,0,0,0,58:17
2017-10-05,BRADEN HOLTBY,G,WSH,AWAY,OTT,W,BOXSCORE,W,4,32,28,.875,0,0,0,0,65:00
2017-10-05,DEVAN DUBNYK,G,MIN,AWAY,DET,L,BOXSCORE,L,4,31,27,.871,0,0,0,0,58:19
2017-10-05,JOHN GIBSON,G,ANA,HOME,ARI,W,BOXSCORE,W,4,30,26,.867,0,0,0,10,59:53
2017-10-05,CRAIG ANDERSON,G,OTT,HOME,WSH,L-SO,BOXSCORE,O,4,28,24,.857,0,0,0,0,65:00
2017-10-05,MATT MURRAY,G,PIT,AWAY,CHI,L,BOXSCORE,"",6,31,25,.806,0,0,0,0,50:44
2017-10-05,ANTTI NIEMI,G,PIT,AWAY,CHI,L,BOXSCORE,L,4,13,9,.692,0,0,0,0,9:16
2017-10-06,SERGEI BOBROVSKY,G,CBJ,HOME,NYI,W,BOXSCORE,W,0,29,29,1.000,1,0,0,0,59:53
2017-10-06,BEN BISHOP,G,DAL,HOME,VEG,L,BOXSCORE,"",0,19,19,1.000,0,0,0,0,43:58
2017-10-06,JAROSLAV HALAK,G,NYI,AWAY,CBJ,L,BOXSCORE,"",0,11,11,1.000,0,0,0,0,28:10
2017-10-06,MARC-ANDRE FLEURY,G,VEG,AWAY,DAL,W,BOXSCORE,W,1,46,45,.978,0,0,0,0,59:29
2017-10-06,ANDREI VASILEVSKIY,G,TBL,HOME,FLA,W,BOXSCORE,W,3,36,33,.917,0,0,0,0,60:00
2017-10-06,ROBERTO LUONGO,G,FLA,AWAY,TBL,L,BOXSCORE,L,4,24,20,.833,0,0,0,0,58:20
2017-10-06,KARI LEHTONEN,G,DAL,HOME,VEG,L,BOXSCORE,L,2,11,9,.818,0,0,0,0,15:00
2017-10-06,THOMAS GREISS,G,NYI,AWAY,CBJ,L,BOXSCORE,L,5,26,21,.808,0,0,0,0,31:50
2017-10-07,MATT MURRAY,G,PIT,HOME,NSH,W,BOXSCORE,W,0,26,26,1.000,1,0,0,0,60:00
2017-10-07,LAURENT BROSSOIT,G,EDM,AWAY,VAN,L,BOXSCORE,"",0,19,19,1.000,0,0,0,0,37:56
2017-10-07,AARON DELL,G,SJS,HOME,LAK,L,BOXSCORE,"",0,9,9,1.000,0,0,0,0,23:02
2017-10-07,CORY SCHNEIDER,G,NJD,HOME,COL,W,BOXSCORE,W,1,41,40,.976,0,0,0,0,60:00
2017-10-07,BRADEN HOLTBY,G,WSH,HOME,MTL,W,BOXSCORE,W,1,39,38,.974,0,0,0,0,59:50
2017-10-07,JIMMY HOWARD,G,DET,AWAY,OTT,W,BOXSCORE,W,1,38,37,.974,0,0,0,0,65:00
2017-10-07,COREY CRAWFORD,G,CHI,HOME,CBJ,W,BOXSCORE,W,1,33,32,.970,0,0,0,0,60:00
2017-10-07,CRAIG ANDERSON,G,OTT,HOME,DET,L-SO,BOXSCORE,O,1,30,29,.967,0,0,0,0,64:55
2017-10-07,MARC-ANDRE FLEURY,G,VEG,AWAY,ARI,W,BOXSCORE,W,1,28,27,.964,0,0,0,0,62:40
2017-10-07,JONATHAN QUICK,G,LAK,AWAY,SJS,W,BOXSCORE,W,1,25,24,.960,0,0,0,0,60:00
2017-10-07,ANTTI RAANTA,G,ARI,HOME,VEG,L-OT,BOXSCORE,O,2,42,40,.952,0,0,0,0,63:46
2017-10-07,JAKE ALLEN,G,STL,HOME,DAL,W,BOXSCORE,W,2,40,38,.950,0,0,0,0,60:00
2017-10-07,JACOB MARKSTROM,G,VAN,HOME,EDM,W,BOXSCORE,W,2,35,33,.943,0,0,1,0,59:34
2017-10-07,CHAD JOHNSON,G,BUF,AWAY,NYI,L,BOXSCORE,"",1,16,15,.938,0,0,0,0,31:01
2017-10-07,JOHN GIBSON,G,ANA,HOME,PHI,L-OT,BOXSCORE,O,3,37,34,.919,0,0,0,0,60:44
2017-10-07,BRIAN ELLIOTT,G,PHI,AWAY,ANA,W,BOXSCORE,W,2,23,21,.913,0,0,0,0,60:24
2017-10-07,ALEX STALOCK,G,MIN,AWAY,CAR,L-SO,BOXSCORE,O,4,42,38,.905,0,0,0,0,64:06
2017-10-07,JONATHAN BERNIER,G,COL,AWAY,NJD,L,BOXSCORE,L,4,39,35,.897,0,0,0,0,59:16
2017-10-07,JAROSLAV HALAK,G,NYI,HOME,BUF,W,BOXSCORE,W,3,29,26,.897,0,0,0,0,60:00
2017-10-07,ANDREI VASILEVSKIY,G,TBL,AWAY,FLA,L,BOXSCORE,L,5,48,43,.896,0,0,0,0,57:40
2017-10-07,MIKE SMITH,G,CGY,HOME,WPG,W,BOXSCORE,W,3,28,25,.893,0,0,0,0,59:58
2017-10-07,JUUSE SAROS,G,NSH,AWAY,PIT,L,BOXSCORE,L,4,34,30,.882,0,0,0,0,60:00
2017-10-07,ONDREJ PAVELEC,G,NYR,AWAY,TOR,L,BOXSCORE,L,3,24,21,.875,0,0,0,0,38:34
2017-10-07,STEVE MASON,G,WPG,AWAY,CGY,L,BOXSCORE,L,6,45,39,.867,0,0,0,0,60:00
2017-10-07,JAMES REIMER,G,FLA,HOME,TBL,W,BOXSCORE,W,4,30,26,.867,0,0,0,0,59:16
2017-10-07,MARTIN JONES,G,SJS,HOME,LAK,L,BOXSCORE,L,4,29,25,.862,0,0,0,0,34:05
2017-10-07,FREDERIK ANDERSEN,G,TOR,HOME,NYR,W,BOXSCORE,W,5,35,30,.857,0,0,0,0,60:00
2017-10-07,SCOTT DARLING,G,CAR,HOME,MIN,W,BOXSCORE,W,4,27,23,.852,0,0,0,0,65:00
2017-10-07,JOONAS KORPISALO,G,CBJ,AWAY,CHI,L,BOXSCORE,L,5,29,24,.828,0,0,0,0,60:00
2017-10-07,KARI LEHTONEN,G,DAL,AWAY,STL,L,BOXSCORE,L,4,21,17,.810,0,0,0,0,57:02
2017-10-07,AL MONTOYA,G,MTL,AWAY,WSH,L,BOXSCORE,"",2,9,7,.778,0,0,0,0,39:52
2017-10-07,ROBIN LEHNER,G,BUF,AWAY,NYI,L,BOXSCORE,L,4,16,12,.750,0,0,0,0,27:00
2017-10-07,CAREY PRICE,G,MTL,AWAY,WSH,L,BOXSCORE,L,4,14,10,.714,0,0,0,0,20:00
2017-10-07,HENRIK LUNDQVIST,G,NYR,AWAY,TOR,L,BOXSCORE,"",5,17,12,.706,0,0,0,0,20:00
2017-10-07,CAM TALBOT,G,EDM,AWAY,VAN,L,BOXSCORE,L,3,7,4,.571,0,0,0,0,20:32
2017-10-08,HENRIK LUNDQVIST,G,NYR,HOME,MTL,W,BOXSCORE,W,0,34,34,1.000,1,0,0,0,59:47
2017-10-08,CAREY PRICE,G,MTL,AWAY,NYR,L,BOXSCORE,L,2,25,23,.920,0,0,0,0,57:33
2017-10-09,MIKE SMITH,G,CGY,AWAY,ANA,W,BOXSCORE,W,0,43,43,1.000,1,0,0,0,60:00
2017-10-09,SEMYON VARLAMOV,G,COL,AWAY,BOS,W,BOXSCORE,W,0,29,29,1.000,1,0,0,0,60:00
2017-10-09,ROBIN LEHNER,G,BUF,HOME,NJD,L,BOXSCORE,"",0,9,9,1.000,0,0,0,0,20:00
2017-10-09,JAKE ALLEN,G,STL,AWAY,NYI,W,BOXSCORE,W,2,42,40,.952,0,0,0,0,64:45
2017-10-09,CONNOR HELLEBUYCK,G,WPG,AWAY,EDM,W,BOXSCORE,W,2,39,37,.949,0,0,1,0,59:49
2017-10-09,THOMAS GREISS,G,NYI,HOME,STL,L-SO,BOXSCORE,O,2,35,33,.943,0,0,0,0,64:36
2017-10-09,JOHN GIBSON,G,ANA,HOME,CGY,L,BOXSCORE,L,2,29,27,.931,0,0,0,0,56:21
2017-10-09,CORY SCHNEIDER,G,NJD,AWAY,BUF,W,BOXSCORE,W,2,25,23,.920,0,0,0,0,60:00
2017-10-09,ANTON FORSBERG,G,CHI,AWAY,TOR,L-OT,BOXSCORE,O,4,43,39,.907,0,0,0,0,63:43
2017-10-09,PHILIPP GRUBAUER,G,WSH,AWAY,TBL,L-OT,BOXSCORE,O,4,40,36,.900,0,0,0,0,63:08
2017-10-09,ANDREI VASILEVSKIY,G,TBL,HOME,WSH,W,BOXSCORE,W,3,26,23,.885,0,0,0,0,62:45
2017-10-09,CAM TALBOT,G,EDM,HOME,WPG,L,BOXSCORE,L,5,43,38,.884,0,0,0,0,60:00
2017-10-09,TUUKKA RASK,G,BOS,HOME,COL,L,BOXSCORE,L,3,22,19,.864,0,0,0,0,59:42
